A : (1024,1024):{nnz:10,sparsity=0.000954%}
COO_SPMM,0.064057,3.91%,2.49%,1.98%
SpGEMM,0.404708,2.73%,1.32%,1.31%
A : (2048,2048):{nnz:41,sparsity=0.000978%}
COO2CSR,0.026624,30.77%,11.54%,14.90%
CSR2COO,0.209806,1.03%,0.43%,0.51%
CSR2CSC_ALG1,0.113323,3.01%,2.41%,1.63%
CSR2CSC_ALG2,0.086812,2.62%,6.82%,2.81%
SpMV_COO,0.021390,14.89%,9.04%,8.44%
SpMV_CSR,0.028217,5.24%,2.02%,2.64%
SpMV_CSC,0.029468,14.67%,13.13%,7.92%
CSR_SPMM,0.230741,0.30%,0.59%,0.31%
COO_SPMM,0.051086,2.23%,1.78%,1.20%
SpGEMM,0.241095,1.51%,1.89%,1.34%
A : (4096,4096):{nnz:21467,sparsity=0.127953%}
COO2CSR,0.016384,6.25%,6.25%,5.41%
CSR2COO,0.018432,5.56%,5.56%,3.93%
CSR2CSC_ALG1,0.399929,1.39%,1.42%,0.90%
CSR2CSC_ALG2,0.286265,1.95%,1.63%,1.07%
SpMV_COO,0.023097,1.97%,2.46%,2.34%
SpMV_CSR,0.029582,3.85%,6.54%,3.65%
SpMV_CSC,0.032768,12.50%,3.13%,5.18%
CSR_SPMM,0.307541,0.55%,0.44%,0.37%
COO_SPMM,0.305380,1.94%,0.75%,0.80%
SpGEMM,0.302535,3.23%,2.18%,1.72%
A : (4096,4096):{nnz:42944,sparsity=0.255966%}
COO2CSR,0.018773,9.09%,7.27%,4.72%
CSR2COO,0.018660,9.76%,1.22%,3.66%
CSR2CSC_ALG1,0.408121,1.37%,1.64%,1.06%
CSR2CSC_ALG2,0.288996,1.34%,1.14%,0.79%
SpMV_COO,0.023552,4.35%,4.35%,3.07%
SpMV_CSR,0.028103,5.67%,5.26%,3.69%
SpMV_CSC,0.035385,4.18%,1.61%,2.10%
CSR_SPMM,0.434062,0.50%,0.68%,0.40%
COO_SPMM,0.440661,0.15%,0.31%,0.16%
SpGEMM,0.417451,11.37%,7.52%,7.42%
A : (4096,4096):{nnz:85890,sparsity=0.511944%}
COO2CSR,0.017636,4.52%,7.10%,4.84%
CSR2COO,0.019228,6.51%,4.14%,4.44%
CSR2CSC_ALG1,0.410965,1.16%,1.58%,0.94%
CSR2CSC_ALG2,0.300487,4.96%,1.86%,1.95%
SpMV_COO,0.023780,7.66%,5.26%,4.71%
SpMV_CSR,0.029696,10.34%,6.90%,5.45%
SpMV_CSC,0.036181,4.72%,3.77%,3.16%
CSR_SPMM,0.714752,0.57%,0.29%,0.27%
COO_SPMM,0.731022,0.30%,0.26%,0.16%
SpGEMM,0.803726,0.78%,0.62%,0.47%
A : (4096,4096):{nnz:171740,sparsity=1.023650%}
COO2CSR,0.018660,9.76%,6.71%,6.60%
CSR2COO,0.020139,6.78%,8.47%,4.40%
CSR2CSC_ALG1,0.435769,4.80%,2.72%,2.12%
CSR2CSC_ALG2,0.315164,3.00%,1.23%,1.25%
SpMV_COO,0.026055,2.18%,5.68%,2.86%
SpMV_CSR,0.031061,5.49%,4.40%,3.69%
SpMV_CSC,0.046535,3.42%,0.98%,1.60%
CSR_SPMM,1.282617,0.12%,0.12%,0.08%
COO_SPMM,1.311289,0.35%,0.12%,0.17%
SpGEMM,1.999075,5.83%,3.24%,3.43%
A : (4096,4096):{nnz:343543,sparsity=2.047676%}
COO2CSR,0.019115,12.50%,3.57%,5.36%
CSR2COO,0.020594,4.42%,5.52%,3.89%
CSR2CSC_ALG1,0.433038,0.97%,0.45%,0.40%
CSR2CSC_ALG2,0.346453,9.95%,2.17%,3.93%
SpMV_COO,0.026283,5.19%,2.60%,2.75%
SpMV_CSR,0.032313,4.58%,1.76%,2.30%
SpMV_CSC,0.065308,0.35%,1.22%,0.69%
CSR_SPMM,2.386717,0.14%,0.12%,0.09%
COO_SPMM,2.439168,0.04%,0.08%,0.04%
SpGEMM,5.174044,1.77%,1.84%,1.29%
A : (4096,4096):{nnz:687153,sparsity=4.095751%}
COO2CSR,0.019001,7.78%,8.38%,6.09%
CSR2COO,0.019342,5.88%,4.71%,4.91%
CSR2CSC_ALG1,0.472405,1.23%,0.94%,0.81%
CSR2CSC_ALG2,0.409259,2.34%,1.67%,1.48%
SpMV_COO,0.029013,5.88%,4.71%,3.53%
SpMV_CSR,0.036181,50.00%,9.43%,18.83%
SpMV_CSC,0.105244,1.19%,1.73%,0.95%
CSR_SPMM,4.721550,0.09%,0.06%,0.06%
COO_SPMM,4.798464,0.04%,0.06%,0.04%
SpGEMM,13.979534,1.17%,0.85%,0.64%
A : (4096,4096):{nnz:1374874,sparsity=8.194888%}
COO2CSR,0.022642,8.54%,5.03%,4.20%
CSR2COO,0.021163,50.00%,12.90%,19.20%
CSR2CSC_ALG1,0.624185,9.92%,3.21%,4.12%
CSR2CSC_ALG2,0.532821,2.82%,1.41%,1.55%
SpMV_COO,0.034930,17.26%,6.19%,9.09%
SpMV_CSR,0.037888,2.70%,2.70%,1.35%
SpMV_CSC,0.180110,1.20%,0.51%,0.53%
CSR_SPMM,9.032703,0.08%,0.05%,0.04%
COO_SPMM,7.699798,0.02%,0.02%,0.02%
SpGEMM,46.201740,22.89%,3.60%,8.59%
A : (8192,8192):{nnz:671,sparsity=0.001000%}
COO2CSR,0.018546,4.91%,6.13%,4.32%
CSR2COO,0.168846,1.28%,0.54%,0.56%
CSR2CSC_ALG1,0.125611,7.61%,4.62%,3.91%
CSR2CSC_ALG2,0.096256,8.51%,3.19%,3.61%
SpMV_COO,0.023438,0.49%,3.88%,1.46%
SpMV_CSR,0.043804,2.86%,1.82%,1.95%
SpMV_CSC,0.043349,1.57%,3.15%,1.67%
CSR_SPMM,0.408462,0.53%,0.22%,0.29%
COO_SPMM,0.337465,1.96%,0.47%,0.76%
SpGEMM,0.262599,3.34%,3.29%,2.14%
A : (8192,8192):{nnz:2684,sparsity=0.003999%}
COO2CSR,0.018318,6.21%,4.97%,3.36%
CSR2COO,0.055979,2.44%,1.22%,1.29%
CSR2CSC_ALG1,0.125952,4.88%,3.25%,3.07%
CSR2CSC_ALG2,0.100466,7.02%,2.15%,2.81%
SpMV_COO,0.027648,14.81%,7.41%,7.17%
SpMV_CSR,0.048356,1.65%,2.59%,1.41%
SpMV_CSC,0.043804,5.19%,1.82%,2.55%
CSR_SPMM,0.456135,0.80%,0.55%,0.45%
COO_SPMM,0.425643,0.32%,0.40%,0.27%
SpGEMM,0.280804,7.94%,3.36%,3.36%
A : (8192,8192):{nnz:5368,sparsity=0.007999%}
COO2CSR,0.018546,4.91%,6.13%,4.32%
CSR2COO,0.036181,1.89%,0.94%,1.42%
CSR2CSC_ALG1,0.405732,0.95%,0.81%,0.68%
CSR2CSC_ALG2,0.282510,0.77%,0.68%,0.46%
SpMV_COO,0.025486,4.46%,3.57%,3.14%
SpMV_CSR,0.036864,5.56%,2.78%,2.78%
SpMV_CSC,0.037888,5.41%,2.70%,3.02%
CSR_SPMM,0.540672,0.38%,0.19%,0.21%
COO_SPMM,0.529408,0.19%,0.19%,0.14%
